ID1NAME,IDNAME,n_covid1,n_covid2,n_covid3,quar1,quar2,quar3,insurance_coverage,ratio_reg_nonreg,Tot_in_mig,Netmig,Inter_guns,Areaper,Circulatory,Infection_parasites,Neoplasm,Overall,Respiratory,smoke_curr_rate,drink_monthly_rate,ob_meas_rate,ob_subj_rate,mental_prev,mental_perception,db_trt_rate,hc_utility_rate,hc_inf_vacc_rate,stroke_rate,rate_cars,apt,n_students_high_per_class,Tot_pop,hh_pop_pct,For_Kor_pct,apt_price,rate_ser_workers,rate_dis_sev,rate_urbanic,rate_ret_work,rate_urb_are,rate_uni,rate_emp,log_GDP,n,group,ID,ID1,code,elderly_alone_ratio,Total,rentals,smoke_cess_1mo,social_groups,org_leisure_sports,rate_hh,rate_dep,rate_inmig,high_sch_p,For_Kor_Pop_100K,GDP_pp,ln_total,netmig2,inter_guns2,tot_in_mig2,x,y,rate_urb_area,Health_behavior,Healthcare_access,Local_economy,Migration,Morbidity,Social_distancing1,Social_distancing2,hc_unmet_rate,r_hesowo,n_Health_Social_Workers,n_workers_industry,GROUP1,n_covid,hesoc,Crowding,diff_sd,seq
Gyeonggi,Pyeongtaek,8,34,19,1,2,3,0.0342471139,20.17870697,10011,2122,2459,1.6639,69.4,9.4,92.7,341.2,33.6,22.9,61.3,36.2,46.2,3.8,28.9,93.8,29.5,49.3,62.9,0.5,24.2,26.31,"504,485",39.2,6.70,84.9,20.3,2.2455603553,3.0174219055,4.9797318057,30174.219055,0.7858937314,0.0589622011,16.902744815,112,13,KR-41220,KR-41,20280,5.6,381731,15.4,7.1,75.9,49.2,0.0518310014,0.0477765757,2.6225273818,37.846827305,67.002110802,57.413149574,13.131293386,0.420626976,0.4874277729,1.9843999326,127.00481929,37.024478487,30.174219055,45.958602298,23.320330449,34.329830859,3.5604190281,98.173336459,12.762611076,20.987422596,11.0,5.9,"13,235","225,077",13,61,2.6234674966,12.220321087,15.198485069,108
Gyeonggi,Sangnok,3,5,9,1,2,3,0.0261772632,20.016023379,11599,601,2797,0,71.6,6.0,96.6,342.2,33.9,25.5,61.7,36.3,47.6,5.5,30.0,89.9,17.6,34.2,48.7,0,0,0,"367,063",39.1,4.97,0,20.3,0,2.103475757,5.1009227821,21034.75757,0,0.0656810956,16.961600097,113,3,KR-41271,KR-41,92,0,367063,0,6.7,75.9,49.2,0.0390894751,0.0328668376,0,39.432648353,49.681146158,0.0990620139,12.813288774,0.1637321114,0.761994535,3.1599480198,126.85900204,37.3201885,21.03475757,46.480460901,17.896621483,6.3190019047,2.5659233636,96.274417135,11.785487463,1.0337676782,10.9,,,,,17,,11.215730621,1.374618363,109
Gyeonggi,Siheung,6,3,18,1,2,3,0.030243009,19.397732493,7221,937,2365,0.7926,78.6,7.5,91.1,326.0,29.5,20.8,58.6,35.1,44.3,2.9,23.6,91.0,11.8,40.8,56.0,0.5,28.5,26.61,"480,201",38.3,10.96,97,20.3,1.8202714007,2.8125693408,5.8875345949,28125.693408,0.5085267218,0.0515211306,16.190427289,114,13,KR-41390,KR-41,20140,3.8,393293,15.1,6.1,75.9,49.2,0.0468114103,0.0421309304,1.8360357291,40.674605891,109.644785,27.333611328,13.081960045,0.1951266241,0.4925020981,1.5037453067,126.80721396,37.392388,28.125693408,44.045199606,14.296152806,38.058582922,5.5798025622,94.741256097,12.112794359,23.305812872,4.5,6.1,"12,387","202,629",13,27,2.5795448156,11.565527405,16.736590639,110
Gyeonggi,Sujeong,31,10,17,1,2,3,0,0,15592,-538,4134,0,65.7,8.2,92.3,342.7,29.7,25.7,68.1,29.5,37.6,2.8,23.5,89.7,19.8,44.7,62.1,0,0,0,"240,405",43.0,6.66,0,20.3,1.642228739,1.5226751436,7.9196429434,15226.751436,0,0,17.031219453,116,7,KR-41131,KR-41,80,0,240405,0,4.2,75.9,49.2,0.0430165762,0,0,33.860601846,66.556345745,0.1512530937,12.39008028,-0.223789023,1.7195981781,6.4857220108,127.10539049,37.436253,15.226751436,45.955648408,9.7498504033,6.3252587642,3.2159227759,96.466285703,12.703381836,1.6050176111,7.6,,,,,58,,12.082444022,2.1342190587,111
Gyeonggi,Suji,9,11,15,1,2,3,0.0302881123,22.062084088,18527,2128,6248,0,35.3,5.0,74.2,223.9,29.2,17.9,66.8,28.2,39.7,2.7,26.6,88.2,19.3,41.3,52.9,0,0,0,"344,019",34.8,1.46,0,20.3,0.9342507245,3.7840983563,4.6913342026,37840.983563,0,0.0839383871,17.301934909,117,9,KR-41465,KR-41,107,0,344019,0,8.5,75.9,49.2,0.034778021,0.045891942,0,18.545439089,14.553915844,0.1056976504,12.748452167,0.6185704859,1.8161787576,5.3854583613,127.08836579,37.333034,37.840983563,44.107977243,19.543701168,6.4508475019,1.0369810352,67.556188347,11.128162873,0.950759279,10.8,,,,,35,,10.606617987,1.2642406908,112
Gyeonggi,Uijeongbu,3,33,11,1,2,3,0.0251771623,21.14253846,7828,1039,1851,0.4052,65.4,7.6,92.4,335.5,39.4,20.2,61.2,34.2,44.9,0.9,27.8,85.9,16.4,44.9,49.0,0.4,25.9,24.26,"432,286",38.5,1.45,100.2,20.3,1.951248886,1.8880213562,4.5539295744,18880.213562,0.2408651878,0.0290784498,15.695546284,118,13,KR-41150,KR-41,20250,6.4,415170,18.7,0.7,75.9,49.2,0.0400963461,0.0382585447,1.8854926897,37.24257555,14.510576081,15.785675747,12.976842685,0.2403501386,0.4281887454,1.8108381951,127.0655887,37.733775,18.880213562,44.72641672,17.056254588,38.924758032,0.8457038734,95.119611948,11.702740315,21.043347701,3.9,14.5,"17,519","120,725",13,47,4.0526410756,11.151695641,15.357340655,113
Gyeonggi,Uiwang,3,2,5,1,2,3,0.0746568697,20.308949776,4803,1496,2640,0.5067,54.6,6.8,86.2,254.1,27.3,19.8,66.6,36.0,44.6,2.7,30.4,83.7,22.8,37.5,52.9,0.4,21.8,23.37,"149,599",36.2,1.14,105.9,20.3,1.5330106432,3.6090638306,4.8436152648,36090.638306,0.6974570715,0.0382694695,14.848001206,119,13,KR-41430,KR-41,20240,5,143378,22.7,9.1,75.9,49.2,0.0378217021,0.0419604123,3.3498863145,28.825081592,11.425944331,19.584950271,11.91571366,1.0000066845,1.7647176786,3.2105829584,126.98896414,37.3582125,36.090638306,47.784999336,20.67666852,40.49491698,1.0713005588,75.836967924,11.679093137,18.871519194,13.7,8.3,"4,576","54,870",13,10,3.0588439762,11.149106354,13.846785914,114
Gyeonggi,Wonmi,0,0,0,1,2,3,0,0,4803,1496,2640,0,0.0,0.0,0.0,0.0,0.0,19.3,56.1,29.9,38.8,2.5,29.3,93.7,20.3,42.8,67.1,0,0,0,"149,599",36.2,1.14,0,20.3,0,3.6090638306,4.8436152648,36090.638306,0,0,14.848001206,120,13,KR-41195,KR-41,86,0,436792,0,2.1,75.9,49.2,0,0,0,32.67860853,0,0.0832478617,11.91571366,1.0000066845,1.7647176786,3.2105829584,126.78252546,37.502435,36.090638306,40.368525041,9.5768912657,5.5144289591,1.0713005588,15.436014524,11.486237057,0.9816209969,4.1,,,,,0,,10.945197364,1.305278039,115
Gyeonggi,Yangju,0,3,6,1,2,3,0.0642158143,20.610216441,3099,193,1167,1.9855,61.2,8.9,88.9,339.0,34.5,23.5,52.3,34.3,41.8,2.5,18.4,94.2,18.6,51.0,67.5,0.5,22.6,28.8,"217,776",36.8,4.87,95.7,20.3,2.5420176074,6.9087219896,5.4859121299,69087.219896,0.5444458358,0.0477114219,15.392432303,121,13,KR-41630,KR-41,20180,6.3,183673,15.3,5.8,75.9,49.2,0.0436117448,0.0425429976,1.6872376452,37.745066075,48.704144234,26.351363565,12.291222291,0.0886231724,0.5358717214,1.4230218206,127.01444099,37.805323,69.087219896,41.181388517,17.924274308,37.331806242,2.4795187979,97.069630812,13.501690092,21.137522528,4.9,7.8,"6,813","87,633",13,9,3.1284439057,12.971165701,15.585798738,116
Gyeonggi,Yangpyeong,0,0,1,1,2,3,0.1680482996,23.785614664,1353,50,476,0.4549,55.2,7.6,102.5,331.6,31.8,19.1,55.8,35.0,37.6,1.6,29.6,76.4,33.5,40.8,43.8,0.5,10.3,22.87,"111,094",41.0,2.13,0,20.3,3.7513241042,4.6086080256,3.9597097953,46086.080256,1.2175670575,0.0360777295,14.334196607,122,13,KR-41830,KR-41,20190,11.1,82131,10.5,2.1,75.9,49.2,0.0555259281,0.0505460788,1.6473682288,32.023906718,21.262904367,20.45292277,11.618131969,0.0450069311,0.4284659838,1.2178875547,127.58123854,37.518366,46.086080256,42.415639869,26.682803304,5.3343716184,1.0856486839,90.330965008,13.355901289,13.081884965,10.9,12.6,"3,723","29,631",13,1,3.3512160873,12.749136637,10.258139407,117
